,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1976.0,40.0,24.0,0.0,90.0
1,1958.0,39.0,42.0,1.0,129.0
2,1936.0,36.0,64.0,2.0,165.0
3,1916.0,35.0,84.0,3.0,200.0
4,1899.0,26.0,101.0,4.0,226.0
5,1888.0,25.0,112.0,5.0,251.0
6,1876.0,14.0,124.0,6.0,265.0
7,1870.0,8.0,130.0,7.0,273.0
8,1865.0,8.0,135.0,8.0,281.0
9,1860.0,9.0,140.0,9.0,290.0
10,1857.0,9.0,143.0,10.0,299.0
11,1852.0,6.0,148.0,11.0,305.0
12,1848.0,6.0,152.0,12.0,311.0
13,1845.0,4.0,155.0,13.0,315.0
14,1842.0,3.0,158.0,14.0,318.0
15,1842.0,3.0,158.0,15.0,321.0
16,1840.0,2.0,160.0,16.0,323.0
17,1838.0,2.0,162.0,17.0,325.0
18,1838.0,4.0,162.0,18.0,329.0
19,1836.0,2.0,164.0,19.0,331.0
20,1836.0,2.0,164.0,20.0,331.0
